candidate,rep,seed,run_id,feasible,cost_per_task,p95_cycle_time,cost_per_task,tasks_completed,stop_reason,tasks_created,simulation_ticks,average_cycle_time,average_throughput,total_blocked_ticks,total_replans,sla_target_ticks,sla_evaluated_tasks,late_tasks,sla_compliance_rate,total_operating_cost,cost_feasible,overrides
pareto-11,18,1873790240,20260909_025450_74ffa0,True,0.0273,62.949999999999974,0.0273,50,target_reached,69,182,29.5,0.27472527472527475,46,9,300,50,0,1.0,1.365,True,"{""num_robots"": 7, ""charger_capacity"": 3, ""conflict_manager"": ""local_yield"", ""scheduler"": ""total_cost""}"
pareto-11,19,376297091,20260909_025451_1497d3,True,0.027449999999999995,67.84999999999998,0.027449999999999995,50,target_reached,69,183,28.66,0.273224043715847,57,13,300,50,0,1.0,1.3724999999999998,True,"{""num_robots"": 7, ""charger_capacity"": 3, ""conflict_manager"": ""local_yield"", ""scheduler"": ""total_cost""}"
pareto-9,0,224899942,20260909_025453_0e11a8,True,0.029880000000000004,52.099999999999994,0.029880000000000004,50,target_reached,95,249,30.4,0.20080321285140562,44,11,300,50,0,1.0,1.4940000000000002,True,"{""num_robots"": 5, ""charger_capacity"": 6, ""conflict_manager"": ""priority_reservation"", ""scheduler"": ""priority""}"
pareto-9,1,1149664691,20260909_025454_2a933f,True,0.030719999999999997,71.55,0.030719999999999997,50,target_reached,97,256,31.22,0.1953125,44,10,300,50,0,1.0,1.5359999999999998,True,"{""num_robots"": 5, ""charger_capacity"": 6, ""conflict_manager"": ""priority_reservation"", ""scheduler"": ""priority""}"
pareto-9,2,374463918,20260909_025456_96ae5d,True,0.025320000000000006,67.64999999999999,0.025320000000000006,50,target_reached,81,211,28.92,0.23696682464454977,28,6,300,50,0,1.0,1.2660000000000002,True,"{""num_robots"": 5, ""charger_capacity"": 6, ""conflict_manager"": ""priority_reservation"", ""scheduler"": ""priority""}"
pareto-9,3,1749090055,2.0260909025458266e+19,True,0.03,63.55,0.03,50,target_reached,95,250,32.0,0.2,32,8,300,50,0,1.0,1.5,True,"{""num_robots"": 5, ""charger_capacity"": 6, ""conflict_manager"": ""priority_reservation"", ""scheduler"": ""priority""}"
pareto-9,4,1144839923,20260909_025500_f26669,True,0.0324,68.94999999999997,0.0324,50,target_reached,102,270,31.2,0.18518518518518517,18,4,300,50,0,1.0,1.6199999999999999,True,"{""num_robots"": 5, ""charger_capacity"": 6, ""conflict_manager"": ""priority_reservation"", ""scheduler"": ""priority""}"
pareto-9,5,462568970,20260909_025502_a0a1f6,True,0.033,78.19999999999999,0.033,50,target_reached,106,275,34.84,0.18181818181818182,35,8,300,50,0,1.0,1.65,True,"{""num_robots"": 5, ""charger_capacity"": 6, ""conflict_manager"": ""priority_reservation"", ""scheduler"": ""priority""}"
pareto-9,6,163868757,20260909_025503_8d3efb,True,0.03192,66.55,0.03192,50,target_reached,101,266,30.04,0.18796992481203006,34,9,300,50,0,1.0,1.5959999999999999,True,"{""num_robots"": 5, ""charger_capacity"": 6, ""conflict_manager"": ""priority_reservation"", ""scheduler"": ""priority""}"
pareto-9,7,1628326613,20260909_025506_44667a,True,0.02748,51.55,0.02748,50,target_reached,87,229,25.74,0.2183406113537118,33,8,300,50,0,1.0,1.374,True,"{""num_robots"": 5, ""charger_capacity"": 6, ""conflict_manager"": ""priority_reservation"", ""scheduler"": ""priority""}"
pareto-9,8,1426778249,20260909_025508_8b49a2,True,0.03048,83.84999999999998,0.03048,50,target_reached,96,254,31.04,0.1968503937007874,40,10,300,50,0,1.0,1.524,True,"{""num_robots"": 5, ""charger_capacity"": 6, ""conflict_manager"": ""priority_reservation"", ""scheduler"": ""priority""}"
pareto-9,9,1463717239,20260909_025509_c08e4b,True,0.03144,72.55,0.03144,50,target_reached,100,262,33.84,0.19083969465648856,27,6,300,50,0,1.0,1.572,True,"{""num_robots"": 5, ""charger_capacity"": 6, ""conflict_manager"": ""priority_reservation"", ""scheduler"": ""priority""}"
pareto-9,10,222915915,20260909_025511_e623f6,True,0.031319999999999994,55.0,0.031319999999999994,50,target_reached,100,261,29.1,0.19157088122605365,23,4,300,50,0,1.0,1.5659999999999998,True,"{""num_robots"": 5, ""charger_capacity"": 6, ""conflict_manager"": ""priority_reservation"", ""scheduler"": ""priority""}"
pareto-9,11,685744792,20260909_025513_1a07af,True,0.026280000000000005,55.29999999999998,0.026280000000000005,50,target_reached,84,219,25.46,0.228310502283105,33,6,300,50,0,1.0,1.3140000000000003,True,"{""num_robots"": 5, ""charger_capacity"": 6, ""conflict_manager"": ""priority_reservation"", ""scheduler"": ""priority""}"
pareto-9,12,580067372,20260909_025514_418b9c,True,0.03323999999999999,88.29999999999998,0.03323999999999999,50,target_reached,106,277,37.94,0.18050541516245489,43,14,300,50,0,1.0,1.6619999999999997,True,"{""num_robots"": 5, ""charger_capacity"": 6, ""conflict_manager"": ""priority_reservation"", ""scheduler"": ""priority""}"
pareto-9,13,1448334525,20260909_025516_98d357,True,0.03,62.49999999999997,0.03,50,target_reached,95,250,28.54,0.2,43,11,300,50,0,1.0,1.5,True,"{""num_robots"": 5, ""charger_capacity"": 6, ""conflict_manager"": ""priority_reservation"", ""scheduler"": ""priority""}"
pareto-9,14,1433644589,20260909_025518_aadacb,True,0.03312,81.1,0.03312,50,target_reached,106,276,37.28,0.18115942028985507,29,7,300,50,0,1.0,1.656,True,"{""num_robots"": 5, ""charger_capacity"": 6, ""conflict_manager"": ""priority_reservation"", ""scheduler"": ""priority""}"
pareto-9,15,1052968588,20260909_025520_4aae03,True,0.02496,47.749999999999986,0.02496,50,target_reached,79,208,27.74,0.2403846153846154,21,6,300,50,0,1.0,1.248,True,"{""num_robots"": 5, ""charger_capacity"": 6, ""conflict_manager"": ""priority_reservation"", ""scheduler"": ""priority""}"
pareto-9,16,703416220,20260909_025522_05d4de,True,0.02556,48.099999999999994,0.02556,50,target_reached,81,213,25.5,0.2347417840375587,15,2,300,50,0,1.0,1.278,True,"{""num_robots"": 5, ""charger_capacity"": 6, ""conflict_manager"": ""priority_reservation"", ""scheduler"": ""priority""}"
pareto-9,17,7174964,2.0260909025524625e+19,True,0.030839999999999996,73.55,0.030839999999999996,50,target_reached,97,257,32.22,0.19455252918287938,41,10,300,50,0,1.0,1.5419999999999998,True,"{""num_robots"": 5, ""charger_capacity"": 6, ""conflict_manager"": ""priority_reservation"", ""scheduler"": ""priority""}"
pareto-9,18,1873790240,20260909_025525_bc5e9f,True,0.030959999999999998,76.1,0.030959999999999998,50,target_reached,97,258,30.52,0.1937984496124031,24,4,300,50,0,1.0,1.5479999999999998,True,"{""num_robots"": 5, ""charger_capacity"": 6, ""conflict_manager"": ""priority_reservation"", ""scheduler"": ""priority""}"
pareto-9,19,376297091,20260909_025527_43679f,True,0.0324,68.0,0.0324,50,target_reached,102,270,33.34,0.18518518518518517,40,10,300,50,0,1.0,1.6199999999999999,True,"{""num_robots"": 5, ""charger_capacity"": 6, ""conflict_manager"": ""priority_reservation"", ""scheduler"": ""priority""}"
